anchor_date,year,month,month_position,weekday,weekday_type,subset_role,train_eligible,evaluation_only,selection_rule,selection_reason,replacement_for,manifest_version
2022-01-03,2022,1,1,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-01-08,2022,1,2,Saturday,weekend,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-01-10,2022,1,3,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-01-17,2022,1,4,Monday,weekday,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-01-22,2022,1,5,Saturday,weekend,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-01-24,2022,1,6,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-02-07,2022,2,1,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-02-12,2022,2,2,Saturday,weekend,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-02-14,2022,2,3,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-02-21,2022,2,4,Monday,weekday,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-02-26,2022,2,5,Saturday,weekend,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-02-28,2022,2,6,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-03-07,2022,3,1,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-03-12,2022,3,2,Saturday,weekend,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-03-14,2022,3,3,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-03-21,2022,3,4,Monday,weekday,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-03-26,2022,3,5,Saturday,weekend,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-03-28,2022,3,6,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-04-04,2022,4,1,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-04-09,2022,4,2,Saturday,weekend,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-04-11,2022,4,3,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-04-18,2022,4,4,Monday,weekday,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-04-23,2022,4,5,Saturday,weekend,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-04-25,2022,4,6,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-05-02,2022,5,1,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-05-07,2022,5,2,Saturday,weekend,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-05-09,2022,5,3,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-05-16,2022,5,4,Monday,weekday,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-05-21,2022,5,5,Saturday,weekend,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-05-23,2022,5,6,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-06-06,2022,6,1,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-06-11,2022,6,2,Saturday,weekend,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-06-13,2022,6,3,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-06-20,2022,6,4,Monday,weekday,audit,False,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-06-25,2022,6,5,Saturday,weekend,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
2022-06-27,2022,6,6,Monday,weekday,model,True,False,FIRST_FOUR_MONDAYS_PLUS_SATURDAYS_AFTER_M1_AND_M3,calendar_only,,FORMAL_72_V1_20260724
