H,seed,target,lead_minutes,n,n_coverage,mae,median_ae,p90_ae,cov50,cov80,cov90,cov90_status,w50,w80,w90
16,20260816,T_IB_REMAINING_HAZARD,0,101,101,8.83941,6.820286,20.358628,0.188119,0.386139,0.465347,,8.861386,18.019802,24.059406
16,20260816,T_IB_REMAINING_HAZARD,30,65,65,14.977904,13.33038,28.087538,0.261538,0.446154,0.476923,,12.384615,20.230769,23.692308
16,20260816,T_IB_REMAINING_HAZARD,60,39,39,47.371224,45.424526,66.474237,0.076923,0.128205,0.128205,,17.820513,22.564103,23.974359
16,20260816,T_IB_REMAINING_HAZARD,120,12,12,105.87838,109.11877,129.004717,0.0,0.0,0.0,,9.583333,24.583333,30.0
16,20260816,D_OB,0,223,69,1.578475,0.0,7.0,0.231884,0.478261,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.155311,3.426202,
16,20260816,D_OB,30,635,239,3.554331,0.0,13.0,0.142259,0.276151,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.143754,3.409606,
16,20260816,D_OB,60,439,220,11.496583,1.0,43.0,0.159091,0.186364,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.155761,3.409626,
16,20260816,D_OB,120,174,72,18.58046,0.0,79.0,0.152778,0.152778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.104334,3.365705,
16,20260816,D_OB,180,77,18,13.87013,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.144175,3.49175,
16,20260816,D_OB,240,56,12,4.928571,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.238718,3.547936,
16,20260816,D_OB,300,40,9,5.175,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.237295,3.432466,
16,20260816,D_OB,360,16,0,0.0,0.0,0.0,,,,,,,
16,20260816,D_OB,420,11,0,0.0,0.0,0.0,,,,,,,
16,20260816,D_TX,0,160,47,0.85625,0.0,3.0,0.404255,0.531915,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.041082,3.243376,
16,20260816,D_TX,30,608,288,2.820724,0.0,10.0,0.232639,0.295139,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.010969,3.171966,
16,20260816,D_TX,60,473,274,5.391121,2.0,11.0,0.156934,0.233577,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.980608,3.147306,
16,20260816,D_TX,120,214,147,12.835129,5.0,44.0,0.142857,0.258503,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.985142,3.16797,
16,20260816,D_TX,180,85,44,7.952941,2.0,11.0,0.272727,0.272727,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.022473,3.177496,
16,20260816,D_TX,240,57,33,3.526316,2.0,11.0,0.363636,0.363636,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.02158,3.229373,
16,20260816,D_TX,300,43,19,3.395349,0.0,11.0,0.368421,0.368421,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.05047,3.382043,
16,20260816,D_TX,360,16,0,0.0,0.0,0.0,,,,,,,
16,20260816,D_TX,420,11,0,0.0,0.0,0.0,,,,,,,
16,20260817,T_IB_REMAINING_HAZARD,0,101,101,5.634215,4.749952,11.497664,0.108911,0.217822,0.346535,,2.376238,5.544554,8.861386
16,20260817,T_IB_REMAINING_HAZARD,30,65,65,14.440336,12.729252,27.507295,0.061538,0.123077,0.246154,,2.923077,6.0,9.230769
16,20260817,T_IB_REMAINING_HAZARD,60,39,39,49.133904,47.575597,65.367438,0.0,0.0,0.0,,4.358974,5.641026,7.820513
16,20260817,T_IB_REMAINING_HAZARD,120,12,12,106.737206,107.168838,129.497964,0.0,0.0,0.0,,0.0,0.833333,1.666667
16,20260817,D_OB,0,223,69,1.578475,0.0,7.0,0.231884,0.347826,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.903787,3.131856,
16,20260817,D_OB,30,635,239,3.558664,0.0,13.0,0.142259,0.205021,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.899617,3.119121,
16,20260817,D_OB,60,439,220,11.456841,2.0,43.0,0.159091,0.177273,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.870053,3.072452,
16,20260817,D_OB,120,174,72,18.565694,0.0,79.0,0.152778,0.152778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.756896,2.928776,
16,20260817,D_OB,180,77,18,13.87013,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.921627,3.078435,
16,20260817,D_OB,240,56,12,5.051627,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.789695,3.073283,
16,20260817,D_OB,300,40,9,5.307277,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.71734,2.986747,
16,20260817,D_OB,360,16,0,0.0,0.0,0.0,,,,,,,
16,20260817,D_OB,420,11,0,0.934445,0.0,2.651236,,,,,,,
16,20260817,D_TX,0,160,47,0.85625,0.0,3.0,0.340426,0.574468,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.069989,3.446727,
16,20260817,D_TX,30,608,288,2.820724,0.0,10.0,0.201389,0.322917,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.031772,3.375432,
16,20260817,D_TX,60,473,274,5.391121,2.0,11.0,0.156934,0.222628,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.991622,3.31209,
16,20260817,D_TX,120,214,147,12.831776,5.0,44.0,0.142857,0.238095,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.97968,3.317954,
16,20260817,D_TX,180,85,44,7.952941,2.0,11.0,0.272727,0.272727,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.077367,3.494188,
16,20260817,D_TX,240,57,33,3.526316,2.0,11.0,0.363636,0.363636,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.970068,3.415495,
16,20260817,D_TX,300,43,19,3.395349,0.0,11.0,0.368421,0.368421,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.842075,3.319789,
16,20260817,D_TX,360,16,0,0.0,0.0,0.0,,,,,,,
16,20260817,D_TX,420,11,0,0.0,0.0,0.0,,,,,,,
32,20260813,T_IB_REMAINING_HAZARD,0,101,101,10.327639,10.106199,18.161422,0.277228,0.712871,0.762376,,12.772277,26.633663,37.772277
32,20260813,T_IB_REMAINING_HAZARD,30,65,65,10.915461,8.887494,25.351441,0.4,0.615385,0.8,,12.923077,27.923077,38.923077
32,20260813,T_IB_REMAINING_HAZARD,60,39,39,47.08108,45.68287,67.067013,0.0,0.025641,0.179487,,11.025641,22.692308,32.948718
32,20260813,T_IB_REMAINING_HAZARD,120,12,12,94.924624,91.792547,115.220504,0.0,0.0,0.0,,17.5,25.416667,31.666667
32,20260813,D_OB,0,223,69,1.590026,0.0,7.0,0.231884,0.478261,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.131151,3.480866,
32,20260813,D_OB,30,635,239,3.598045,0.0,13.0,0.142259,0.280335,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.124538,3.464464,
32,20260813,D_OB,60,439,220,11.46006,2.0,43.0,0.159091,0.190909,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.120899,3.447973,
32,20260813,D_OB,120,174,72,18.636388,0.0,79.0,0.152778,0.152778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.10421,3.412893,
32,20260813,D_OB,180,77,18,13.979616,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.091362,3.396141,
32,20260813,D_OB,240,56,12,4.966124,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.046638,3.267904,
32,20260813,D_OB,300,40,9,5.680229,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.010305,3.198486,
32,20260813,D_OB,360,16,0,1.488564,1.976435,2.003359,,,,,,,
32,20260813,D_OB,420,11,0,1.963793,1.950469,1.991297,,,,,,,
32,20260813,D_TX,0,160,47,0.85625,0.0,3.0,0.382979,0.617021,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.435495,3.956581,
32,20260813,D_TX,30,608,288,2.820724,0.0,10.0,0.253472,0.402778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.443983,3.966008,
32,20260813,D_TX,60,473,274,5.390668,2.0,11.0,0.189781,0.317518,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.445144,3.961512,
32,20260813,D_TX,120,214,147,12.774163,5.0,44.0,0.204082,0.285714,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.432437,3.933521,
32,20260813,D_TX,180,85,44,7.952941,2.0,11.0,0.272727,0.272727,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.416581,3.86972,
32,20260813,D_TX,240,57,33,3.526316,2.0,11.0,0.363636,0.363636,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.42463,3.872141,
32,20260813,D_TX,300,43,19,3.395349,0.0,11.0,0.368421,0.368421,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.427094,3.877678,
32,20260813,D_TX,360,16,0,0.0,0.0,0.0,,,,,,,
32,20260813,D_TX,420,11,0,0.0,0.0,0.0,,,,,,,
32,20260814,T_IB_REMAINING_HAZARD,0,101,101,9.800834,9.760548,17.00619,0.455446,0.673267,0.752475,,15.39604,27.128713,39.80198
32,20260814,T_IB_REMAINING_HAZARD,30,65,65,11.234305,9.760623,23.879933,0.415385,0.615385,0.830769,,14.230769,24.384615,35.769231
32,20260814,T_IB_REMAINING_HAZARD,60,39,39,46.085434,44.760116,64.412873,0.0,0.0,0.051282,,11.794872,24.74359,33.461538
32,20260814,T_IB_REMAINING_HAZARD,120,12,12,103.61045,104.049572,125.382078,0.0,0.0,0.0,,12.916667,27.083333,35.0
32,20260814,D_OB,0,223,69,1.602536,0.0,7.0,0.275362,0.347826,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.425604,3.675005,
32,20260814,D_OB,30,635,239,3.579172,0.0,13.0,0.16318,0.213389,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.404462,3.656356,
32,20260814,D_OB,60,439,220,11.49634,1.0,43.0,0.159091,0.177273,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.386894,3.649939,
32,20260814,D_OB,120,174,72,18.769438,0.0,79.0,0.152778,0.152778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.35397,3.63507,
32,20260814,D_OB,180,77,18,14.255354,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.319062,3.665362,
32,20260814,D_OB,240,56,12,5.582265,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.270978,3.618812,
32,20260814,D_OB,300,40,9,5.728272,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.20354,3.527757,
32,20260814,D_OB,360,16,0,2.398821,2.407939,2.466282,,,,,,,
32,20260814,D_OB,420,11,0,2.339477,2.33529,2.359105,,,,,,,
32,20260814,D_TX,0,160,47,0.85625,0.0,3.0,0.425532,0.702128,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.319073,3.910988,
32,20260814,D_TX,30,608,288,2.820724,0.0,10.0,0.253472,0.444444,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.338562,3.934908,
32,20260814,D_TX,60,473,274,5.391121,2.0,11.0,0.189781,0.310219,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.35157,3.958932,
32,20260814,D_TX,120,214,147,12.831776,5.0,44.0,0.210884,0.210884,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.354453,3.9512,
32,20260814,D_TX,180,85,44,7.952941,2.0,11.0,0.272727,0.272727,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.358706,3.933553,
32,20260814,D_TX,240,57,33,3.526316,2.0,11.0,0.363636,0.363636,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.366038,3.951886,
32,20260814,D_TX,300,43,19,3.395349,0.0,11.0,0.368421,0.368421,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.409994,3.982529,
32,20260814,D_TX,360,16,0,0.0,0.0,0.0,,,,,,,
32,20260814,D_TX,420,11,0,0.0,0.0,0.0,,,,,,,
32,20260815,T_IB_REMAINING_HAZARD,0,101,101,16.614575,16.599212,28.383258,0.217822,0.475248,0.564356,,22.524752,41.435644,54.950495
32,20260815,T_IB_REMAINING_HAZARD,30,65,65,8.46379,7.965323,16.481354,0.615385,0.923077,0.984615,,22.307692,44.153846,55.307692
32,20260815,T_IB_REMAINING_HAZARD,60,39,39,38.737384,36.995894,59.551965,0.0,0.25641,0.384615,,21.794872,39.615385,53.461538
32,20260815,T_IB_REMAINING_HAZARD,120,12,12,97.865132,95.208601,121.800877,0.0,0.0,0.0,,8.75,27.083333,36.666667
32,20260815,D_OB,0,223,69,1.608142,0.0,7.0,0.304348,0.507246,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.265253,3.762408,
32,20260815,D_OB,30,635,239,3.560789,0.0,13.0,0.192469,0.297071,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.267251,3.764343,
32,20260815,D_OB,60,439,220,11.496583,1.0,43.0,0.172727,0.204545,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.263026,3.76605,
32,20260815,D_OB,120,174,72,18.58046,0.0,79.0,0.152778,0.152778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.279095,3.81985,
32,20260815,D_OB,180,77,18,13.87013,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.32256,3.919746,
32,20260815,D_OB,240,56,12,4.928571,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.34289,3.891246,
32,20260815,D_OB,300,40,9,5.771979,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.310671,3.783157,
32,20260815,D_OB,360,16,0,1.766477,2.349817,2.36407,,,,,,,
32,20260815,D_OB,420,11,0,2.332675,2.337051,2.343691,,,,,,,
32,20260815,D_TX,0,160,47,0.85625,0.0,3.0,0.425532,0.595745,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.293348,3.31056,
32,20260815,D_TX,30,608,288,2.820724,0.0,10.0,0.253472,0.368056,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.315457,3.352717,
32,20260815,D_TX,60,473,274,5.391121,2.0,11.0,0.189781,0.262774,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.376749,3.464681,
32,20260815,D_TX,120,214,147,12.831776,5.0,44.0,0.197279,0.258503,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.406078,3.516467,
32,20260815,D_TX,180,85,44,7.952941,2.0,11.0,0.272727,0.272727,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.331056,3.384171,
32,20260815,D_TX,240,57,33,3.526316,2.0,11.0,0.363636,0.363636,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.392588,3.49962,
32,20260815,D_TX,300,43,19,3.395349,0.0,11.0,0.368421,0.368421,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.511892,3.708627,
32,20260815,D_TX,360,16,0,0.0,0.0,0.0,,,,,,,
32,20260815,D_TX,420,11,0,0.0,0.0,0.0,,,,,,,
32,20260816,T_IB_REMAINING_HAZARD,0,101,101,13.284528,12.414024,24.190828,0.346535,0.564356,0.673267,,19.60396,38.168317,49.306931
32,20260816,T_IB_REMAINING_HAZARD,30,65,65,9.719037,8.071591,20.9547,0.523077,0.861538,0.876923,,18.230769,37.615385,47.846154
32,20260816,T_IB_REMAINING_HAZARD,60,39,39,40.352103,38.36612,57.297547,0.0,0.25641,0.410256,,23.589744,42.820513,51.153846
32,20260816,T_IB_REMAINING_HAZARD,120,12,12,98.45292,100.524134,122.834399,0.0,0.0,0.0,,13.75,28.75,38.75
32,20260816,D_OB,0,223,69,1.830408,0.0,7.0,0.231884,0.434783,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.02591,3.446737,
32,20260816,D_OB,30,635,239,3.717316,0.0,13.0,0.142259,0.276151,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.031089,3.443509,
32,20260816,D_OB,60,439,220,11.483252,2.0,43.0,0.159091,0.190909,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.016217,3.415723,
32,20260816,D_OB,120,174,72,18.559879,0.0,79.0,0.152778,0.152778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.048548,3.442868,
32,20260816,D_OB,180,77,18,14.034364,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.089823,3.495577,
32,20260816,D_OB,240,56,12,5.250776,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.079561,3.484075,
32,20260816,D_OB,300,40,9,6.11312,2.677267,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.016449,3.397745,
32,20260816,D_OB,360,16,0,1.616328,2.561264,2.662401,,,,,,,
32,20260816,D_OB,420,11,0,2.544263,2.541946,2.554865,,,,,,,
32,20260816,D_TX,0,160,47,0.85625,0.0,3.0,0.425532,0.680851,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.603504,3.753569,
32,20260816,D_TX,30,608,288,2.820724,0.0,10.0,0.253472,0.413194,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.589263,3.712166,
32,20260816,D_TX,60,473,274,5.385409,2.0,11.0,0.189781,0.284672,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.602764,3.696923,
32,20260816,D_TX,120,214,147,12.794422,5.0,44.0,0.210884,0.258503,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.62218,3.707959,
32,20260816,D_TX,180,85,44,8.097315,2.0,11.0,0.272727,0.272727,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.592813,3.685353,
32,20260816,D_TX,240,57,33,3.66677,2.0,11.0,0.363636,0.363636,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.625008,3.700552,
32,20260816,D_TX,300,43,19,3.618698,2.649314,8.294789,0.368421,0.368421,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.645185,3.697615,
32,20260816,D_TX,360,16,0,2.073696,2.56409,2.635696,,,,,,,
32,20260816,D_TX,420,11,0,2.501787,2.525339,2.546857,,,,,,,
32,20260817,T_IB_REMAINING_HAZARD,0,101,101,8.921134,8.930118,16.015445,0.465347,0.683168,0.722772,,15.445545,25.643564,32.178218
32,20260817,T_IB_REMAINING_HAZARD,30,65,65,11.996117,9.841308,24.51987,0.384615,0.615385,0.753846,,15.307692,24.384615,31.923077
32,20260817,T_IB_REMAINING_HAZARD,60,39,39,47.286948,45.622314,65.667642,0.0,0.0,0.0,,13.589744,22.820513,29.487179
32,20260817,T_IB_REMAINING_HAZARD,120,12,12,100.239898,99.526792,119.949345,0.0,0.0,0.0,,15.833333,20.833333,30.833333
32,20260817,D_OB,0,223,69,1.578475,0.0,7.0,0.202899,0.376812,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.047292,3.413816,
32,20260817,D_OB,30,635,239,3.554331,0.0,13.0,0.138075,0.23431,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.016758,3.363571,
32,20260817,D_OB,60,439,220,11.496583,1.0,43.0,0.159091,0.177273,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.969997,3.272392,
32,20260817,D_OB,120,174,72,18.58046,0.0,79.0,0.152778,0.152778,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.851211,3.026101,
32,20260817,D_OB,180,77,18,13.87013,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.865158,2.984437,
32,20260817,D_OB,240,56,12,4.928571,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.852334,2.919034,
32,20260817,D_OB,300,40,9,5.175,0.0,23.0,0.0,0.0,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.788306,2.844192,
32,20260817,D_OB,360,16,0,0.0,0.0,0.0,,,,,,,
32,20260817,D_OB,420,11,0,0.0,0.0,0.0,,,,,,,
